sentence,start,end,duration,talks_id
" And let me explain through those three key areas that I've identified: cities, energy and land. ",391.39,396.823,5.433,2093
And let me start with cities. ,396.823,398.877,2.054,2093
" I've already described the problems of Beijing: pollution, congestion, waste and so on. ",398.877,405.756,6.879,2093
 Surely we recognize that in many of our cities around the world. ,405.756,410.705,4.949,2093
" Now, with cities, like life but particularly cities, you have to think ahead. ",410.705,416.694,5.989,2093
" The cities that are going to be built ?? and there are many, and many big ones ?? we have to think of how to design them  in a compact way so we can save travel time  and we can save energy.",416.694,426.522,9.828,2093
" The cities that already are  there, well established, we have to think about renewal and investment in them so that we can connect ourselves much better  within those cities, and make it easier, encourage more people, to live closer to the center. ",426.522,442.269,15.747,2093
 We've got examples building around the world of the kinds of ways in which we can do that. ,442.269,446.971,4.702,2093
" The bus rapid transport system in Bogotá in Colombia  is a very important case of how to move around  safely and quickly in a non-polluting way  in a city: very frequent buses,  strongly protected routes, the same service, really,  as an underground railway system,  but much, much cheaper  and can be done much more quickly,  a brilliant idea in many more cities around the world that's developing. ",446.971,472.564,25.593,2093
"Now, some things in cities do take time. ",472.564,474.465,1.901,2093
Some things in cities can happen much more quickly. ,474.465,477.518,3.053,2093
"Take my hometown, London. ",477.518,479.622,2.104,2093
" In 1952, smog in London killed 4,000 people and badly damaged the lives of many, many more. ",479.622,487.604,7.982,2093
And it happened all the time. ,487.604,488.954,1.35,2093
For those of you live outside London in the U.K. ,488.954,491.456,2.502,2093
will remember it used to be called The Smoke. ,491.456,493.649,2.193,2093
That's the way London was. ,493.649,495.325,1.676,2093
" By regulating coal, within a few years the problems of smog were rapidly reduced. ",495.325,500.495,5.17,2093
I remember the smogs well. ,500.495,502.05,1.555,2093
" When the visibility dropped to [less] than  a few meters, they stopped the buses and I had to walk. ",502.05,508.622,6.572,2093
This was the 1950s. ,508.622,510.68,2.058,2093
I had to walk home three miles from school. ,510.68,514.578,3.898,2093
"Again, breathing was a hazardous activity. ",514.578,518.147,3.569,2093
But it was changed. It was changed by a decision. ,518.147,520.825,2.678,2093
" Good decisions can bring good results, striking results, quickly. ",520.825,526.359,5.534,2093
" We've seen more: In London, we've introduced the congestion charge, actually quite quickly and effectively,  and we've seen great improvements in the bus system, and cleaned up the bus system. ",526.359,537.64,11.281,2093
" You can see that the two transformations I've described, the structural and the climate, come very much together. ",537.64,545.348,7.708,2093
"But we have to invest. We have to invest in our cities, ",545.348,548.281,2.933,2093
" and we have to invest wisely, and if we do,  we'll see cleaner cities, quieter cities, safer cities,  more attractive cities, more productive cities,  and stronger community in those cities ?? public transport, recycling, reusing, all sorts of things that bring communities together. ",548.281,567.071,18.79,2093
" We can do that, but we have to think, we have to invest, we have to plan. ",567.071,571.208,4.137,2093
Let me turn to energy. ,571.208,573.379,2.171,2093
" Now, energy over the last 25 years has increased by about 50 percent. ",573.379,578.837,5.458,2093
Eighty percent of that comes from fossil fuels. ,578.837,581.454,2.617,2093
" Over the next 20 years, perhaps it will increase by another 40 percent or so. ",581.454,586.888,5.434,2093
" We have to invest strongly in energy,  we have to use it much more efficiently, and we have to make it clean. ",586.888,594.384,7.496,2093
We can see how to do that. ,594.384,595.714,1.33,2093
Take the example of California. ,595.714,597.618,1.904,2093
 It would be in the top 10 countries in the world if it was independent. ,597.618,602.771,5.153,2093
 I don't want to start any ?? (Laughter) California's a big place. ,602.771,610.679,7.908,2093
" (Laughter)  In the next five or six years,  they will likely move from  around 20 percent in renewables ?? wind, solar and so on ?? to over 33 percent,  and that would bring California back  to greenhouse gas emissions in 2020  to where they were in 1990,  a period when the economy in California would more or less have doubled. ",610.679,634.756,24.077,2093
That's a striking achievement. ,634.756,636.206,1.45,2093
It shows what can be done. ,636.206,637.689,1.483,2093
 Not just California ??the  incoming government of India is planning to get solar technology  to light up the homes  of 400 million people who don't have electricity in India. ,637.689,649.169,11.48,2093
They've set themselves a target of five years. ,649.169,651.649,2.48,2093
I think they've got a good chance of doing that. ,651.649,654.878,3.229,2093
" We'll see, but what you're seeing now is people moving much more quickly. ",654.878,659.848,4.97,2093
" Four hundred million, more than the population of the United States. ",659.848,663.708,3.86,2093
 Those are the kinds of ambitions now  people are setting themselves in terms of rapidity of change. ,663.708,671.987,8.279,2093
" Again, you can see  good decisions can bring quick results,  and those two transformations, the economy and the structure and the climate and the low carbon, are intimately intertwined. ",671.987,683.305,11.318,2093
" Do the first one well, the structural,  the second one on the climate becomes much easier. ",683.305,690.29,6.985,2093
" Look at land, land and particularly forests. ",690.29,694.667,4.377,2093
 Forests are the hosts to valuable plant and animal species. ,694.667,700.256,5.589,2093
" They hold water in the soil  and they take carbon dioxide out of the atmosphere, fundamental to the tackling of climate change. ",700.256,708.591,8.335,2093
But we're losing our forests. ,708.591,710.823,2.232,2093
" In the last decade, we've lost a forest area  the size of Portugal, and much more has been degraded. ",710.823,718.256,7.433,2093
 But we're already seeing that we can do so much about that. ,718.256,722.418,4.162,2093
" We can recognize the problem, but we can also understand how to tackle it. ",722.418,726.569,4.151,2093
" In Brazil, the rate of deforestation  has been reduced by 70 percent over the last 10 years. ",726.569,733.803,7.234,2093
" How? By involving local communities,  investing in their agriculture and their economies,  by monitoring more carefully, by enforcing the law more strictly. ",733.803,745.354,11.551,2093
And it's not just stopping deforestation. ,745.354,747.244,1.89,2093
" That's of course of first and fundamental importance,  but it's also regrading degraded land, regenerating, rehabilitating degraded land. ",747.244,757.707,10.463,2093
I first went to Ethiopia in 1967. ,757.707,761.587,3.88,2093
"It was desperately poor. In the following years, ",761.587,764.062,2.475,2093
 it suffered devastating famines and profoundly destructive social conflict. ,764.062,769.664,5.602,2093
" Over the last few years, actually more than a few, Ethiopia has been growing much more rapidly. ",769.664,775.423,5.759,2093
 It has ambitions to be a middle-income country  15 years from now and to be carbon neutral. ,775.423,782.061,6.638,2093
" Again, I think it's a strong ambition but it is a plausible one. ",782.061,787.404,5.343,2093
You're seeing that commitment there. ,787.404,788.815,1.411,2093
You're seeing what can be done. ,788.815,790.081,1.266,2093
Ethiopia is investing in clean energy. ,790.081,792.646,2.565,2093
It's working in the rehabilitation of land. ,792.646,796.268,3.622,2093
" In Humbo, in southwest Ethiopia,  a wonderful project  to plant trees on degraded land  and work with local communities  on sustainable forest management has led to big increases in living standards. ",796.268,809.408,13.14,2093
" So we can see, from Beijing to London,  from California to India,  from Brazil to Ethiopia,  we do understand  how to manage those two transformations, the structural and the climate. ",809.408,824.431,15.023,2093
We do understand how to manage those well. ,824.431,828.61,4.179,2093
And technology is changing very rapidly. ,828.61,831.388,2.778,2093
" I don't have to list all those things  to an audience like this,  but you can see the electric cars, you can see the batteries using new materials. ",831.388,841.064,9.676,2093
 You can see that we can manage remotely now our household appliances on our mobile phones when we're away.,841.064,847.014,5.95,2093
You can see better insulation. ,847.014,848.821,1.807,2093
And there's much more coming. ,848.821,850.744,1.923,2093
" But, and it's a big but,  the world as a whole is moving far too slowly. ",850.744,857.528,6.784,2093
We're not cutting emissions in the way we should. ,857.528,860.07,2.542,2093
 We're not managing those structural transformations as we can. ,860.07,865.01,4.94,2093
 The depth of understanding of the immense risks of climate changeare not there yet. ,865.01,871.828,6.818,2093
 The depth of understanding  of the attractiveness of what we can do is not there yet. ,871.828,880.108,8.28,2093
We need political pressure to build. ,880.108,883.606,3.498,2093
We need leaders to step up. ,883.606,887.138,3.532,2093
" We can have better growth, better climate, a better world. ",887.138,894.844,7.706,2093
" We can make,  by managing those two transformations well, the next 100 years the best of centuries. ",894.844,903.724,8.88,2093
" If we make a mess of it,  we, you and me, if we make a mess of it,  if we don't manage those transformations properly,  it will be, the next 100 years will be the worst of centuries. ",903.724,916.193,12.469,2093
" That's the major conclusion  of the report on the economy and climate  chaired by ex-President Felipe Calderón of Mexico,  and I co-chaired that with him,  and we handed that report yesterday  here in New York, in the United Nations Building to the Secretary-General of the U.N., ",916.193,933.68,17.487,2093
Ban Ki-moon. ,933.68,934.946,1.266,2093
We know that we can do this. ,934.946,939.051,4.105,2093
" Now, two weeks ago, I became a grandfather for the fourth time. ",939.051,945.833,6.782,2093
 Our daughter ?? (Baby cries) (Laughter) (Applause) ?? Our daughter gave birth to Rosa here in New York two weeks ago. Here are Helen and Rosa. ,945.833,964.484,18.651,2093
 (Applause) Two weeks old. ,964.484,974.696,10.212,2093
" Are we going to look our grandchildren in the eye  and tell them that we understood the issues,  that we recognized the dangers and the opportunities,  and still we failed to act? Surely not. Let's make the next 100 years ",974.696,995.168,20.472,2093
the best of centuries. ,995.168,996.974,1.806,2093
" Over the past couple of days,  as I've been preparing for my speech,  I've become more and more nervous about what I'm going to sayand about being on the same stage as all these fascinating people.",25.802,35.699,9.897,21
"Being on the same stage as Al Gore, who was the first person I ever voted for.",35.723,40.013,4.29,21
" And --  (Laughter)  So I was getting pretty nervous  and, you know, I didn't know that Chris sits on the stage,and that's more nerve-racking. ",40.037,50.985,10.948,21
But then I started thinking about my family.,51.009,53.065,2.056,21
" I started thinking about my father and my grandfather and my great-grandfather,  and I realized  that I had all of these Teds going through my bloodstream -- (Laughter) that I had to consider this ""my element."" ",53.089,68.834,15.745,21
" So, who am I? Chris kind of mentioned I started a company with my husband.",68.858,74.888,6.03,21
We have about 125 people internationally. ,74.912,77.331,2.419,21
" If you looked in the book, you saw this ... ",77.355,80.442,3.087,21
 (Laughter) which I really was appalled by. ,80.466,85.031,4.565,21
" (Laughter)  And because I wanted to impress you all with slides, since I saw the great presentations yesterday with graphs, I made a graph that moves, and I talk about the makeup of me. ",85.055,98.834,13.779,21
" (Laughter)  So, besides this freakish thing, this is my science slide. ",98.858,105.557,6.699,21
"This is math, and this is science, this is genetics.",105.581,108.149,2.568,21
"This is my grandmother, and this is where I get this mouth.",108.173,111.045,2.872,21
" (Laughter)  So -- I'm a blogger, which, probably, to a lot of you, means different things.",111.069,119.077,8.008,21
" You may have heard about the Kryptonite lock brouhaha, where a blogger talked about how you hack  or break into a Kryptonite lock using a ballpoint pen,and it spread all over. ",119.101,129.207,10.106,21
" Kryptonite had to adjust the lock, and they had to address it to avoid too many customer concerns.",129.231,134.834,5.603,21
" You may have heard about Rathergate,  which was basically the result of bloggers  realizing that the ""th"" in 111  is not typeset on an old typewriter; it's on Word. ",134.858,148.505,13.647,21
" Bloggers exposed this, or they worked hard to expose this. ",148.529,152.834,4.305,21
"You know, blogs are scary. This is what you see.",152.858,155.425,2.567,21
" I see this, and I'm sure scared -- I swear on stage -- shitless about blogs,because this is not something that's friendly.",155.449,163.93,8.481,21
" But there are blogs that are changing the way we read newsand consume media, and these are great examples.",163.954,170.001,6.047,21
" These people are reaching thousands,  if not millions, of readers, and that's incredibly important. ",170.025,175.834,5.809,21
" During the hurricane,  you had MSNBC posting about the hurricane on their blog,updating it frequently. ",175.858,182.538,6.68,21
This was possible because of the easy nature of blogging tools.,182.562,185.834,3.272,21
" You have my friend, who has a blog on PVRs, personal recorders.",185.858,192.132,6.274,21
" He makes enough money just by running ads, to support his family up in Oregon. ",192.156,196.267,4.111,21
" That's all he does now, and this is something that blogs have made possible.",196.291,199.908,3.617,21
"And then you have something like this, which is Interplast.",199.932,202.716,2.784,21
 It's a wonderful organization  of people and doctors who go to developing nationsto offer plastic surgery to those who need it.,202.74,210.834,8.094,21
"Children with cleft palates get it, and they document their story.",210.858,214.52,3.662,21
This is wonderful. ,214.544,215.834,1.29,21
I am not that caring. ,215.858,218.834,2.976,21
 (Laughter) I talk about myself. ,218.858,222.785,3.927,21
That's what I am. I'm a blogger. ,222.809,224.402,1.593,21
" I have always decided that I was going to be an expert on one thing, and I am an expert on this person, and so I write about it. ",224.426,232.398,7.972,21
" So, the short story about my blog: it started in 2001, I was 23. ",232.7,236.518,3.818,21
" I wasn't happy with my job,  because I was a designer, but I wasn't being really stimulated. ",236.542,241.686,5.144,21
I was an English major in college. ,241.71,243.343,1.633,21
"I didn't have any use for it, but I missed writing.",243.367,246.042,2.675,21
" So, I started to write a blog and I started to create things like these little stories.",246.066,250.597,4.531,21
" This was an illustration about my camp experience when I was 11 years old, and how I went to a YMCA camp, Christian camp, and basically by the end,  I had made my friends hate me so much that I hid in a bunk, They couldn't find me, they sent a search party, and I overheard people saying they wish I had killed myself --jumped off Bible Peak. ",250.621,271.525,20.904,21
"You can laugh, this is OK. ",271.549,273.194,1.645,21
 (Laughter) This is me. ,273.218,276.834,3.616,21
This is what happened to me. ,276.858,278.327,1.469,21
" And when I started my blog, it was really this one goal -- I said, ""I am not going to be famous to the world,but I could be famous to people on the Internet.""",278.351,290.032,11.681,21
And I set a goal. ,290.056,291.216,1.16,21
" I said, ""I'm going to win an award,"" because I had never won an award in my entire life.",291.24,296.068,4.828,21
"And I said, ""I'm going to win the South by Southwest Weblog award.""",296.092,300.023,3.931,21
" And I won it -- I reached all of these people,and I had tens of thousands of people reading about my life every day.",300.047,306.345,6.298,21
And then I wrote a post about a banjo. ,306.369,308.796,2.427,21
" I wrote a post  about wanting to buy a banjo -- a $300 banjo, which is a lot of money. ",309.177,315.971,6.794,21
 And I don't play instruments; I don't know anything about music. ,316.471,320.349,3.878,21
" I like music, and I like banjos,  and I think I probably heard Steve Martin playing,and I said, ""I could do that."" ",320.373,326.834,6.461,21
" And I said to my husband, ""Ben, can I buy a banjo?"" And he's like, ""No.""",326.858,330.365,3.507,21
" And my husband --  (Laughter)  this is my husband, who is very hot -- he won an award for being hot. ",330.389,336.834,6.445,21
" (Laughter)  He told me, ""You cannot buy a banjo. ",336.858,342.834,5.976,21
"You're just like your dad,"" who collects instruments.",342.858,346.033,3.175,21
" And I wrote a post about how I was so mad at him,he was such a tyrant -- he would not let me buy this banjo.",346.057,352.803,6.746,21
" And those people who know me understood my joke --this is Mena, this is how I make a joke at people.",352.827,357.562,4.735,21
" Because the joke in this is that this person is not a tyrant, this person is so loving and so sweet  that he lets me dress him up and post pictures of him to my blog. ",357.586,367.761,10.175,21
 (Laughter)  And if he knew I was showing this right now -- I put this in today --he would kill me. ,367.785,376.815,9.03,21
" But the thing was, my friends read it,  and they're like, ""Oh, that Mena, she wrote a postabout wanting a stupid thing and being stupid.""",376.839,384.102,7.263,21
" But I got emails from people that said, ""Oh my God, your husband is such an asshole.",384.126,389.669,5.543,21
 How much money does he spend on beer in a year?You could take that money and buy your banjo.,389.693,395.52,5.827,21
" Why don't you open a separate account?"" I've been with him since I was 17, we've never had a separate bank account.",395.544,400.985,5.441,21
"They said, ""Separate your bank account. ",401.009,402.89,1.881,21
"Spend your money; spend his money, that's it.""",402.914,405.097,2.183,21
"And then I got people saying, ""Leave him."" ",405.121,407.25,2.129,21
" (Laughter)  I was like, ""OK, what? Who are these people? And why are they reading this?"" And I realized: I don't want to reach these people.",407.274,415.243,7.969,21
I don't want to write for this public audience.,415.267,417.834,2.567,21
And I started to kill my blog slowly. ,417.858,419.834,1.976,21
"I'm like, I don't want to write this anymore.",419.858,421.96,2.102,21
 Slowly and slowly -- And I did tell personal stories from time to time.,421.984,426.616,4.632,21
"I wrote this one, and I put this up because of Einstein today.",426.64,429.552,2.912,21
" I'm going to get choked up, because this is my first pet,and she passed away two years ago. ",429.576,433.907,4.331,21
" And I decided to break from, ""I don't really write about my public life,""because I wanted to give her a little memorial.",433.931,439.619,5.688,21
" But anyways, it's these sorts of personal stories -- You know, you read the blogs about politics or about media,and gossip and all these things. ",439.643,446.503,6.86,21
" These are out there,  but it's more of the personal that interests me,and this is who I am. ",446.527,453.126,6.599,21
" You see Norman Rockwell, and you have art critics say,""Norman Rockwell is not art. ",453.15,457.154,4.004,21
" Norman Rockwell hangs in living rooms and bathrooms,and this is not something to be considered high art.""",457.178,463.834,6.656,21
 And I think this is one of the most important thingsto us as humans. ,463.858,468.903,5.045,21
" These things resonate with us,  and, if you think about blogs, you think of high art blogs, the history paintings about, you know, all the biblical stories,and then you have this. ",468.927,479.738,10.811,21
These are the blogs that interest me: the people that just tell stories.,479.762,483.454,3.692,21
"One story is about this baby, and his name is Odin.",483.478,487.422,3.944,21
His father was a blogger. ,487.446,489.628,2.182,21
" And he was writing his blog one day,  and his wife gave birth to her baby at 25 weeks. ",489.652,496.834,7.182,21
And he never expected this. ,496.858,498.607,1.749,21
"One day, it was normal; the next day, it was hell.",498.631,501.834,3.203,21
And this is a one-pound baby. ,501.858,503.632,1.774,21
So Odin was documented every single day. ,503.656,506.834,3.178,21
"Pictures were taken every day: day one, day two ...",506.858,509.53,2.672,21
 You have day nine -- they're talking about his apnea;day 39 -- he gets pneumonia. ,509.554,514.324,4.77,21
" His baby is so small,  and I've never encountered such a -- just -- a disturbing image, but just so heartfelt.",514.348,522.834,8.486,21
" And you're reading this as it happens,  so on day 55, everybody reads that he's having failures: breathing failures and heart failures, and it's slowing down, and you don't know what to expect.",523.497,535.834,12.337,21
"But then it gets better. Day 96, he goes home.",535.858,539.07,3.212,21
And you see this post. ,539.094,541.18,2.086,21
" That's not something you're going to see in a paper or magazine but this is something this person feels, and people are excited about it -- 28 comments.",541.204,548.617,7.413,21
" That's not a huge amount of people reading,but 28 people matter. ",548.641,552.498,3.857,21
" And today, he is a healthy baby,  who, if you read his blog -- it's snowdeal.org, his father's blog -- ",552.522,560.671,8.149,21
" he is taking pictures of him still, because he is still his son and he is, I think, at his age level right nowbecause he had received such great treatment from the hospital.",560.695,570.612,9.917,21
"So, blogs. ",571.175,572.716,1.541,21
So what? You've probably heard these things before.,572.74,575.287,2.547,21
" We talked about the WELL, and about all these sorts of thingsthroughout our online history. ",575.311,580.834,5.523,21
" But I think blogs are basically just an evolution,and that's where we are today. ",580.858,586.163,5.305,21
"It's this record of who you are, your persona.",586.187,588.783,2.596,21
" You have your Google search, where you say, ""What is Mena Trott?""And then you find these things and you're happy or unhappy.",588.807,595.642,6.835,21
" But then you also find people's blogs,  and those are the records of people that are writing daily --not necessarily about the same topic, but things that interest them.",595.666,604.7,9.034,21
" And we talk about the world flattens, being in this panel, and I am very optimistic -- whenever I think about blogs,I'm like, ""We've got to reach all these people.""",604.724,613.873,9.149,21
Hundreds of millions and billions of people.,613.897,615.976,2.079,21
" We're getting into China, we want to be there,but there are so many people that won't have the access to write a blog.",616,621.871,5.871,21
" But to see something like the $100 computer is amazing,because blogging software is simple. ",621.895,626.706,4.811,21
" We have a successful company because of timing, and because of perseverance, but it's simple stuff --it's not rocket science. ",626.73,633.04,6.31,21
"And so, that's an amazing thing to consider.",633.064,636.064,3,21
 So -- the life record of a blog is something that I find incredibly important.,636.473,644.021,7.548,21
" And we started with a slide of my Teds,  and I had to add this slide,  because I knew the minute I showed this, my mom -- my mom will see this, because she does read my blog and she'll say, ""Why wasn't there a picture of me?""This is my mom. ",644.045,656.737,12.692,21
"So, I have all the people that I know of. ",656.761,659.031,2.27,21
 But this is basically the extent of the family that I knowin terms of my direct line. ,659.055,665.889,6.834,21
" I showed a Norman Rockwell painting before, and this one, I grew up with,looking at constantly. ",665.913,671.834,5.921,21
" I would spend hours looking at the connections, saying, ""Oh, the little kid up at the top has red hair;so does that first generation up there."" ",671.858,678.834,6.976,21
And it's just these little things. ,678.858,680.5,1.642,21
" This is not science, but this was enough for me to be really interested in how we have evolvedand how we can trace our line. ",680.524,690.132,9.608,21
So that has always influenced me. ,690.608,692.834,2.226,21
" I have this record, this 1910 census,  of another Grabowski -- that's my maiden name --and there's a Theodore, because there's always a Theodore.",693.143,702.047,8.904,21
"This is all I have, a couple of facts about somebody.",702.071,705.703,3.632,21
" I have their date of birth, their age, what they did in their household, if they spoke English, and that's it, that's all I know of these people.",705.727,713.406,7.679,21
" And it's pretty sad, because I only go back five generations, and that's it.",713.43,718.501,5.071,21
" I don't even know what happens on my mom's side,because she's from Cuba and I don't have that many things.",718.525,723.759,5.234,21
" Just doing this, I spent time in the archives -- that's why my husband's a saint --  I spent time in the Washington archives, just sitting there, looking for these things.",724.857,732.912,8.055,21
"Now it's online, but he sat through that. ",732.936,734.916,1.98,21
 And so you have this record and -- This is my great-great-grandmother. ,734.94,739.543,4.603,21
This is the only picture I have. ,739.567,741.194,1.627,21
" And to think of what we have the ability to do with our blogs; to think about the people that are on those $100 computers, talking about who they are, sharing these personal stories --this is an amazing thing. ",741.218,754.237,13.019,21
" Another photo that has greatly influenced me, or a series of photos, is this project that's done by an Argentinean man and his wife.",754.642,763.131,8.489,21
" And he's basically taking a picture of his family every dayfor the past, what is '76? -- 20 ... Oh my God, I'm '77 -- 29 years?",763.155,772.121,8.966,21
Twenty-nine years. ,772.145,773.866,1.721,21
" There was a joke, originally, about my graph that I left out, which is: You see all this math?  I'm just happy I was able to add it up to 100,because that's my skill set. ",774.919,783.482,8.563,21
" (Laughter)  So you have these people aging, and now this is them today, or last year. ",783.506,791.735,8.229,21
"And that's a powerful thing to have, to be able to track this.",792.063,795.008,2.945,21
I wish that I would have this of my family.,795.032,797.834,2.802,21
" I know that one day my children will be wondering -- or my grandchildren, or my great-grandchildren, if I ever have children --  what I am going to -- who I was. ",797.858,810.145,12.287,21
" So I do something that's very narcissistic -- I am a blogger --  that is an amazing thing for me, because it captures a moment in time every day.",810.169,819.419,9.25,21
 I take a picture of myself -- I've been doing this since last year --every single day. ,819.443,824.032,4.589,21
" And, you know, it's the same picture; it's basically the same person. ",824.056,827.663,3.607,21
Only a couple of people read it. ,827.687,829.266,1.579,21
" I don't write this for this audience; I'm showing it now, but I would go insane if this was really public.",829.29,835.174,5.884,21
" About four people probably read it, and they tell me, ""You haven't updated."" ",835.198,839.261,4.063,21
I'm probably going to get people telling me I haven't updated.,839.285,842.245,2.96,21
" But this is amazing, because I can go back to a day -- to April 2005, and say, what was I doing this day? I look at it, I know exactly. ",842.269,848.954,6.685,21
It's this visual cue that is so important to what we do.,848.978,851.974,2.996,21
" I put the bad pictures up too, because there are bad pictures. ",851.998,856.527,4.529,21
 (Laughter)  And I remember instantly: I am in Germany in this --I had to go for a one-day trip. ,856.551,862.925,6.374,21
" I was sick, and I was in a hotel room, and I wanted not to be there. ",862.949,867.413,4.464,21
"And so you see these things, it's not just always smiling.",867.437,870.364,2.927,21
"Now I've kind of evolved it, so I have this look.",870.388,872.701,2.313,21
" If you look at my driver's license, I have the same look, and it's a pretty disturbing thing, but it's something that is really important.",872.725,881.169,8.444,21
" And the last story I really want to tell is this story, because this is probably the one that means the most to mein all of what I'm doing. ",881.582,891.534,9.952,21
"I'll probably get choked up, because I tend to when I talk about this.",891.558,894.882,3.324,21
" So, this woman, her name was Emma, and she was a blogger on our service, TypePad.",894.906,900.098,5.192,21
" And she was a beta tester, so she was there right when we opened --you know, there was 100 people. ",900.122,904.834,4.712,21
And she wrote about her life dealing with cancer.,904.858,907.834,2.976,21
" She was writing and writing, and we all started reading it, because we had so few blogs on the service,we could keep track of everyone. ",907.858,914.72,6.862,21
