sentence,start,end,duration
Nobody is controlling what you do. ,388.858,391.85799999999995,2.999999999999943
"Once you have stayed here, you cannot go back.' ",391.85799999999995,394.85799999999995,3.0
" He meant back beyond that mountain of trash,  back in the legal city, of legal buildings, with legal leases and legal rights. ",395.85799999999995,403.85799999999995,8.0
" 'Once you have stayed here,' he said, 'you can stay for the rest of your life.'"" ",403.85799999999995,409.85799999999995,6.0
"So, he has hope, and this is where these communities start. ",410.85799999999995,415.85799999999995,5.0
" This is perhaps the most primitive shanty that you can find in Kibera, little more than a stick-and-mud hut next to a garbage heap. ",415.85799999999995,424.85799999999995,9.0
"This is getting ready for the monsoon in Bombay, India. ",425.85799999999995,428.85799999999995,3.0
 This is home improvement: putting plastic tarps on your roof. ,428.85799999999995,434.858,6.000000000000057
" This is in Rio de Janeiro, and it's getting a bit better, right?  We're seeing scavenged terra cotta tile and little pieces of signs,  and plaster over the brick, some color, and this is Sulay Montakaya's house in Sultanbelyi, and it's getting even better. ",434.858,452.85799999999995,17.999999999999943
 He's got a fence; he scavenged a door; he's got new tile on the roof. ,452.85799999999995,457.85799999999995,5.0
 And then you get Rocinha and you can see that it's getting even better. ,457.85799999999995,463.85799999999995,6.0
The buildings here are multi-story. ,463.85799999999995,465.85799999999995,2.0
" They develop -- you can see on the far right  one where it seems to just stack on top of each other, room, after room, after room. ",465.85799999999995,473.85799999999995,8.0
" And what people do is they develop their home on one or two stories,  and they sell their loggia or roof rights,  and someone else builds on top of their building,  and then that person sells the roof rights, and someone else builds on top of their building. ",473.85799999999995,485.85799999999995,12.0
All of these buildings are made out of reinforced concrete and brick. ,485.85799999999995,489.85799999999995,4.0
" And then you get Sultanbelyi, in Turkey, where it's even built to a higher level of design. ",489.85799999999995,494.858,5.000000000000057
" The crud in the front is mattress stuffing, and you see that all over Turkey. ",494.858,499.858,5.0
People dry out or air out their mattress stuffing on their roofs. ,499.858,503.858,4.0
" But the green building, on behind,  you can see that the top floor is not occupied, so people are building with the possibility of expansion. ",503.858,510.85799999999995,6.999999999999943
And it's built to a pretty high standard of design. ,510.85799999999995,513.858,3.0
" And then you finally get squatter homes like this, which is built on the suburban model. ",513.858,517.858,4.0
"Hey, that's a single family home in the squatter community. ",517.858,520.858,3.0
"That's also in Istanbul, Turkey. ",520.858,522.858,2.0
"They're quite vital places, these communities. ",522.858,524.858,2.0
" This is the main drag of Rocinha, the Estrada da Gavea,  and there's a bus route that runs through it, lots of people out on the street. ",524.858,532.858,8.0
 These communities in these cities are actually more vital than the illegal communities. ,532.858,537.858,5.0
They have more things going on in them. ,537.858,540.858,3.0
" This is a typical pathway in Rocinha called a ""beco"" -- these are how you get around the community. ",540.858,545.858,5.0
It's on very steep ground. ,545.858,547.858,2.0
" They're built on the hills, inland from the beaches in Rio, and you can see that the houses are just cantilevered over the natural obstructions. ",547.858,554.858,7.0
"So, that's just a rock in the hillside. ",554.858,556.858,2.0
" And these becos are normally very crowded,  and people hump furniture up them, or refrigerators up them, all sorts of things. ",556.858,565.858,9.0
Beer is all carried in on your shoulders. ,565.858,567.858,2.0
Beer is a very important thing in Brazil. ,567.858,570.858,3.0
" This is commerce in Kenya, right along the train tracks,  so close to the train tracks that the merchants sometimes have to pull the merchandise out of the way. ",570.858,580.858,10.0
" This is a marketplace, also in Kenya, Toi Market, lots of dealers, in almost everything you want to buy. ",580.858,587.858,7.0
Those green things in the foreground are mangoes. ,587.858,590.858,3.0
" This is a shopping street in Kibera,  and you can see that there's a soda dealer, a health clinic, two beauty salons, a bar, two grocery stores, and a church, and more. ",590.858,602.858,12.0
It's a typical downtown street; it just happens to be self-built. ,602.858,607.858,5.0
" This here, on the right-hand side,  is what's called a -- if you look at the fine print under the awning -- it's a hotel. ",607.858,615.858,8.0
"And what hotel means, in Kenya and India, is an eating-place. ",615.858,621.858,6.0
"So, that's a restaurant. ",621.858,623.858,2.0
People steal electrical power -- this is Rio. ,623.858,625.858,2.0
" People tap in and they have thieves who are called ""grillos"" or ""crickets,""  and they steal the electrical power and wire the neighborhood. ",625.858,636.858,11.0
" People burn trash to get rid of the garbage, and they dig their own sewer channels. ",636.858,643.858,7.0
Talk about more plastic bags than plankton. ,643.858,646.858,3.0
And sometimes they have natural trash-disposal. ,646.858,650.858,4.0
" And when they have more money they cement their streets, and they put in sewers and good water pipes, and stuff like that. ",650.858,657.858,7.0
"This is water going to Rio. People run their water pipes all over the place, ",657.858,663.858,6.0
" and that little hut right there has a pump in it, and that's what people do:  they steal electricity; they install a pump and they tap into the water main, and pump water up to their houses. ",663.858,672.858,9.0
" So, the question is how do you go from the mud-hut village,  to the more developed city, to the even highly developed Sultanbelyi? I say there are two things. ",672.858,685.858,13.0
One is people need a guarantee they won't be evicted. ,685.858,687.858,2.0
" That does not necessarily mean property rights,  and I would disagree with Hernando de Soto on that question, because property rights create a lot of complications. ",687.858,695.858,8.0
" They're most often sold to people, and people then wind up in debt  and have to pay back the debt,  and sometimes have to sell their property in order to pay back the debt. ",695.858,705.858,10.0
" There's a whole variety of other reasons why property rights  sometimes don't work in these cases, but they do need security of tenure. ",705.858,711.858,6.0
"And they need access to politics, and that can mean two things. ",711.858,715.858,4.0
" That can mean community organizing from below, but it can also mean possibilities from above. ",715.858,722.858,7.0
And I say that because the system in Turkey is notable. ,722.858,727.858,5.0
Turkey has two great laws that protect squatters. ,727.858,729.858,2.0
" One is that -- it's called ""gecekondu"" in Turkish,  which means ""built overnight,"" and if you build your house overnight  in Turkey, you can't be evicted without due process of law, if they don't catch you during the night. ",729.858,743.858,14.0
" And the second aspect is that once you have 2,000 people  in the community, you can petition the government to be recognized as a legal sub-municipality. ",743.858,753.858,10.0
"And when you're a legal sub-municipality, you suddenly have politics. ",753.858,756.858,3.0
" You're allowed to have an elected government, collect taxes, provide municipal services, and that's exactly what they do. ",756.858,762.858,6.0
"So, these are the civic leaders of the future. ",762.858,765.858,3.0
The woman in the center is Geeta Jiwa. ,766.858,767.858,1.0
She lives in one of those tents on the highway median in Mumbai. ,767.858,773.858,6.0
 That's Sureka Gundi; she also lives with her family on the tent along the same highway median. ,773.858,777.858,4.0
They're very outspoken. They're very active. ,777.858,779.858,2.0
They can be community leaders. ,779.858,781.858,2.0
"This woman is Nine, which means ""grandma"" in Turkish. ",782.858,785.858,3.0
" And there were three old ladies who lived in --  that's her self-built house behind her -- and they've lived there for 30 or 40 years, and they are the backbone of the community there. ",785.858,795.858,10.0
" This is Richard Muthama Peter, and he is an itinerant street photographer in Kibera. ",795.858,800.858,5.0
" He makes money taking pictures of the neighborhood,  and the people in the neighborhood, and is a great resource in the community. ",800.858,807.858,7.0
" And finally my choice to run for mayor of Rio is Cezinio,  the fruit merchant with his two kids here, and a more honest and giving and caring man I don't know. ",807.858,818.858,11.0
 The future of these communities is in the people and in our ability to work with those people. ,818.858,824.858,6.0
" So, I think the message I take, from what I read from the book,  from what Armstrong said, and from all these people, is that these are neighborhoods. ",824.858,832.858,8.0
The issue is not urban poverty. ,832.858,834.858,2.0
"The issue is not the larger, over-arching thing. ",834.858,837.858,3.0
" The issue is for us to recognize that these are neighborhoods --  this is a legitimate form of urban development --  and that cities have to engage these residents, because they are building the cities of the future. ",837.858,849.858,12.0
